answer,sentiment,nearest_neighbors,linear_svm,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,stochastic_gradient_descent,max_voting
"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
thank you for the survey ,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1
 endow inch a green infrastructure will resultant role inch job which bequeath aid the economy,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
