answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
" tree ask besides a lot water and the root impact sewer line food and waste be want inch our garbage to promote the dislocation of garbage in our landfill one will put solar dialog box in when the lightweight , deoxyadenosine monophosphate thin arsenic a while of tinfoil , cheap panel become available",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97795815 0.02204185],[1. 0.],[0.47743612 0.52256388],[0.70702156 0.29297844],[1. 0.],[1. 0.],[0.99646942 0.00353058],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.99024947 0.00975053]
"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01918953 0.98081047],[0.33333333 0.66666667],[0.47743612 0.52256388],[0.11503636 0.88496364],[0. 1.],[0. 1.],[0.01117389 0.98882611],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.02764875 0.97235125]
 what do supply benefit to historically deprived group intend racial equity for the environment unclear of how this be implement oregon how information technology would impact any decision embody make,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97791483 0.02208517],[1. 0.],[0.47744665 0.52255335],[0.87582122 0.12417878],[1. 0.],[1. 0.],[0.98718083 0.01281917],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97150944 0.02849056]
 program that assistant resident and commercial owner abridge water system practice,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97797628 0.02202372],[0.66666667 0.33333333],[0.47750355 0.52249645],[0.83170088 0.16829912],[1. 0.],[1. 0.],[0.98357941 0.01642059],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96290761 0.03709239]
 catch planting palo verde tree in the city because many multitude equal allergic to them,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9779318 0.0220682],[0.66666667 0.33333333],[0.47749534 0.52250466],[0.87715442 0.12284558],[1. 0.],[1. 0.],[0.98444796 0.01555204],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96732132 0.03267868]
" deplorably , the unharmed state exist polarize with some people reject climate science the city south campaign will necessitate to be nuanced and inclusive good fortune",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97791457 0.02208543],[1. 0.],[0.47793337 0.52206663],[0.89472211 0.10527789],[1. 0.],[1. 0.],[0.98622475 0.01377525],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96871092 0.03128908]
"tree planting, green space, restrict new development that requires new water use",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01924926 0.98075074],[0. 1.],[0.47743373 0.52256627],[0.18234099 0.81765901],[0. 1.],[0. 1.],[0.02083709 0.97916291],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.04103098 0.95896902]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01921547 0.98078453],[0.33333333 0.66666667],[0.47742786 0.52257214],[0.23207983 0.76792017],[0. 1.],[0. 1.],[0.0242095 0.9757905],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.04552497 0.95447503]
 this web site make information technology search deoxyadenosine monophosphate if compost computerized tomography be now partner with the city somehow and that some special people toilet carry their pine away to somewhere oregon other what about expand this and advertising information technology in the water bill,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97793491 0.02206509],[1. 0.],[0.47743612 0.52256388],[0.79016863 0.20983137],[1. 0.],[1. 0.],[0.98862462 0.01137538],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97659973 0.02340027]
"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01914042 0.98085958],[0.33333333 0.66666667],[0.47743612 0.52256388],[0.41008265 0.58991735],[0. 1.],[0. 1.],[0.03148641 0.96851359],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.08522191 0.91477809]
"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01919441 0.98080559],[0.33333333 0.66666667],[0.47743612 0.52256388],[0.27153266 0.72846734],[0. 1.],[0. 1.],[0.01532218 0.98467782],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03635133 0.96364867]
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0192189 0.9807811],[0. 1.],[0.47743498 0.52256502],[0.20482927 0.79517073],[0. 1.],[0. 1.],[0.02910068 0.97089932],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.05635144 0.94364856]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01918767 0.98081233],[0. 1.],[0.47743612 0.52256388],[0.16618297 0.83381703],[0. 1.],[0. 1.],[0.01248896 0.98751104],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.01840155 0.98159845]
what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97791444 0.02208556],[1. 0.],[0.47743615 0.52256385],[0.83706946 0.16293054],[1. 0.],[1. 0.],[0.98360274 0.01639726],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96267729 0.03732271]
thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01921041 0.98078959],[0. 1.],[0.47698499 0.52301501],[0.1764798 0.8235202],[0. 1.],[0. 1.],[0.01601041 0.98398959],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03231965 0.96768035]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01924357 0.98075643],[0. 1.],[0.4773162 0.5226838],[0.17066079 0.82933921],[0. 1.],[0. 1.],[0.00932855 0.99067145],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.0225923 0.9774077]
the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97790387 0.02209613],[1. 0.],[0.47743619 0.52256381],[0.83571875 0.16428125],[1. 0.],[1. 0.],[0.9743846 0.0256154],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.94257968 0.05742032]
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97789846 0.02210154],[1. 0.],[0.47743629 0.52256371],[0.84063759 0.15936241],[1. 0.],[1. 0.],[0.97524061 0.02475939],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.9450567 0.0549433]
thank you for the survey ,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01920654 0.98079346],[1. 0.],[0.47750026 0.52249974],[0.15158057 0.84841943],[0. 1.],[0. 1.],[0.03952345 0.96047655],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.04174113 0.95825887]
 endow in a green infrastructure will result in job which volition avail the economy,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97795873 0.02204127],[1. 0.],[0.47750357 0.52249643],[0.84521694 0.15478306],[1. 0.],[1. 0.],[0.98685809 0.01314191],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96983529 0.03016471]
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01917595 0.98082405],[0. 1.],[0.47737508 0.52262492],[0.18249716 0.81750284],[0. 1.],[0. 1.],[0.01407205 0.98592795],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03224131 0.96775869]
