answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03380125 0.96619875],[0. 1.],[0.33562397 0.66437603],[0.13232305 0.86767695],[0. 1.],[0. 1.],[0.02614946 0.97385054],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05674701 0.94325299]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02489828 0.97510172],[0. 1.],[0.35408547 0.64591453],[0.11753504 0.88246496],[0. 1.],[0. 1.],[0.02020647 0.97979353],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04360511 0.95639489]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.04595009 0.95404991],[0.33333333 0.66666667],[0.34567524 0.65432476],[0.2801587 0.7198413],[0. 1.],[0. 1.],[0.05719102 0.94280898],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.10333375 0.89666625]
the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03730068 0.96269932],[0.33333333 0.66666667],[0.35200413 0.64799587],[0.32546649 0.67453351],[0. 1.],[0. 1.],[0.01746112 0.98253888],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03490915 0.96509085]
reverse descrimation is still descrimination and just as wrong as any descriminating!,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02134193 0.97865807],[0. 1.],[0.35110307 0.64889693],[0.18285761 0.81714239],[0. 1.],[0. 1.],[0.02005709 0.97994291],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03700876 0.96299124]
no grass orpine trees,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97707864 0.02292136],[1. 0.],[0.67216996 0.32783004],[0.86066351 0.13933649],[1. 0.],[1. 0.],[0.97259377 0.02740623],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93272065 0.06727935]
stop doing feel good stuff and hire more police to take care of the poor service in tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02064256 0.97935744],[0. 1.],[0.30035193 0.69964807],[0.07633058 0.92366942],[0. 1.],[0. 1.],[0.01532569 0.98467431],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03513573 0.96486427]
"tree planting, green space, restrict new development that requires new water use",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02647765 0.97352235],[0. 1.],[0.34327737 0.65672263],[0.1644669 0.8355331],[0. 1.],[0. 1.],[0.02833479 0.97166521],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05881898 0.94118102]
gratitude for the survey and the efforts of mayor and council ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0224749 0.9775251],[0. 1.],[0.2071184 0.7928816],[0.08899624 0.91100376],[0. 1.],[0. 1.],[0.0190835 0.9809165],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04311363 0.95688637]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.04541714 0.95458286],[0.33333333 0.66666667],[0.35200346 0.64799654],[0.28275154 0.71724846],[0. 1.],[0. 1.],[0.04380324 0.95619676],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.07623984 0.92376016]
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02293349 0.97706651],[0. 1.],[0.33275811 0.66724189],[0.10120086 0.89879914],[0. 1.],[0. 1.],[0.02242762 0.97757238],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04469671 0.95530329]
we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03239368 0.96760632],[0. 1.],[0.34555508 0.65444492],[0.12708539 0.87291461],[0. 1.],[0. 1.],[0.02170835 0.97829165],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04616454 0.95383546]
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,[0.97310113 0.02689887],[1. 0.],[0.35200414 0.64799586],[0.70335139 0.29664861],[1. 0.],[1. 0.],[0.96573995 0.03426005],[1.00000000e+00 2.22044605e-16],[0. 1.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.92341211 0.07658789]
